location,bedrooms,bathrooms,size_sqft,furnishing,rent_price
Discovery Gardens,1,1,970,Furnished,62000
Dubai Marina,1,1,1158,Furnished,165000
Downtown Dubai,0,1,607,Furnished,96000
Dubai Sports City,4,4,2959,Furnished,171000
Business Bay,1,1,869,Unfurnished,95000
Jumeirah Beach Residence (JBR),0,1,400,Unfurnished,53000
Jumeirah Beach Residence (JBR),3,3,1720,Unfurnished,170000
Palm Jumeirah,2,3,1445,Unfurnished,207000
Dubai Sports City,0,1,613,Unfurnished,43000
Dubai Marina,2,3,1489,Unfurnished,146000
Discovery Gardens,2,3,1261,Unfurnished,81000
Dubai Sports City,1,2,914,Partly Furnished,81000
Al Nahda,2,2,1152,Partly Furnished,75000
Dubai Marina,1,1,714,Unfurnished,60000
International City,1,2,1171,Unfurnished,44000
Jumeirah Village Circle (JVC),2,2,1589,Unfurnished,97000
Downtown Dubai,2,3,1132,Unfurnished,121000
Downtown Dubai,2,3,1646,Unfurnished,175000
Dubai Marina,2,3,1602,Furnished,211000
Jumeirah Beach Residence (JBR),1,2,1079,Unfurnished,101000
Jumeirah Beach Residence (JBR),1,2,1087,Furnished,135000
Al Nahda,2,3,1624,Unfurnished,68000
International City,3,3,2273,Furnished,143000
Downtown Dubai,1,2,1145,Partly Furnished,183000
Al Nahda,1,1,1084,Unfurnished,55000
Jumeirah Beach Residence (JBR),3,3,2409,Partly Furnished,272000
Dubai Sports City,0,1,521,Unfurnished,27000
Discovery Gardens,2,3,1212,Unfurnished,54000
Dubai Sports City,2,2,1212,Unfurnished,88000
Al Nahda,4,5,4089,Unfurnished,192000
Jumeirah Village Circle (JVC),2,2,1515,Partly Furnished,91000
Jumeirah Beach Residence (JBR),1,2,979,Unfurnished,129000
Dubai Silicon Oasis,2,3,1300,Unfurnished,62000
International City,2,2,1502,Furnished,84000
Business Bay,0,1,477,Partly Furnished,60000
Downtown Dubai,2,3,1250,Partly Furnished,168000
Palm Jumeirah,1,2,1199,Partly Furnished,147000
Dubai Sports City,3,3,1859,Furnished,134000
Jumeirah Village Circle (JVC),2,2,1503,Furnished,145000
Jumeirah Lake Towers (JLT),0,1,453,Furnished,35000
Business Bay,2,2,1437,Unfurnished,151000
Palm Jumeirah,1,2,988,Unfurnished,113000
Jumeirah Beach Residence (JBR),2,2,1500,Unfurnished,172000
Jumeirah Lake Towers (JLT),2,3,1137,Furnished,126000
Dubai Marina,1,1,985,Furnished,148000
Dubai Marina,1,2,846,Partly Furnished,98000
Jumeirah Village Circle (JVC),4,5,2976,Unfurnished,243000
Dubai Marina,4,4,2996,Partly Furnished,390000
Jumeirah Lake Towers (JLT),0,1,602,Unfurnished,55000
Jumeirah Lake Towers (JLT),1,1,1189,Furnished,134000
International City,0,1,637,Furnished,29000
Business Bay,1,2,972,Furnished,105000
Downtown Dubai,2,3,1637,Furnished,305000
Dubai Sports City,1,1,735,Furnished,65000
Dubai Silicon Oasis,2,3,1570,Unfurnished,96000
Al Nahda,2,2,1674,Furnished,124000
Dubai Marina,1,2,1025,Unfurnished,105000
Jumeirah Village Circle (JVC),2,3,1104,Unfurnished,80000
Dubai Marina,1,1,1010,Unfurnished,99000
Al Nahda,2,2,1219,Unfurnished,53000
Business Bay,0,1,466,Unfurnished,46000
Discovery Gardens,0,1,471,Unfurnished,22000
International City,2,3,1336,Unfurnished,68000
Jumeirah Lake Towers (JLT),2,3,1346,Unfurnished,106000
International City,0,1,634,Unfurnished,19000
